Implied_Volatility,Strike_Price,Current_Nifty_Price,Risk_Free_Rate,Last_Traded_Price,Time_to_Expiry,Theoretical_Price,Price_Difference,Option_Type_Binary
0.4122,17950,19751.05,0.1,1843.35,0.01369863,1833.117653,10.23234694,1
0.0358,19600,19751.05,0.1,183.95,0.01369863,178.3328652,5.617134763,1
0.0514,19650,19751.05,0.1,143.55,0.01369863,136.397378,7.152622024,1
0.0624,19700,19751.05,0.1,113.2,0.01369863,104.6752828,8.524717234,1
0.0673,19750,19751.05,0.1,86,0.01369863,77.07423635,8.925763651,1
0.0702,19800,19751.05,0.1,63,0.01369863,54.4388335,8.5611665,1
0.0727,19850,19751.05,0.1,45.1,0.01369863,37.29217471,7.807825289,1
0.0743,19900,19751.05,0.1,31,0.01369863,24.34919436,6.650805644,1
0.0744,19950,19751.05,0.1,19.8,0.01369863,14.56609772,5.233902276,1
0.0771,20000,19751.05,0.1,13.45,0.01369863,9.329999902,4.120000098,1
0.0773,20050,19751.05,0.1,8.05,0.01369863,5.165143669,2.884856331,1
0.0806,20100,19751.05,0.1,5.55,0.01369863,3.341774104,2.208225896,1
0.0834,20150,19751.05,0.1,3.75,0.01369863,2.104965793,1.645034207,1
0.0893,20200,19751.05,0.1,3.1,0.01369863,1.681456459,1.418543541,1
0.0918,20250,19751.05,0.1,2.1,0.01369863,1.065980718,1.034019282,1
0.0967,20300,19751.05,0.1,1.7,0.01369863,0.826390022,0.873609978,1
0.1036,20350,19751.05,0.1,1.6,0.01369863,0.765715919,0.834284081,1
0.1075,20400,19751.05,0.1,1.25,0.01369863,0.571194327,0.678805673,1
0.1142,20450,19751.05,0.1,1.2,0.01369863,0.539091499,0.660908501,1
0.1215,20500,19751.05,0.1,1.2,0.01369863,0.537045888,0.662954112,1
0.1272,20550,19751.05,0.1,1.1,0.01369863,0.480179855,0.619820145,1
0.1327,20600,19751.05,0.1,1,0.01369863,0.42795535,0.57204465,1
0.1379,20650,19751.05,0.1,0.9,0.01369863,0.377313133,0.522686867,1
0.1447,20700,19751.05,0.1,0.9,0.01369863,0.374828268,0.525171732,1
0.1514,20750,19751.05,0.1,0.9,0.01369863,0.371300162,0.528699838,1
0.1571,20800,19751.05,0.1,0.85,0.01369863,0.346421053,0.503578947,1
0.1637,20850,19751.05,0.1,0.85,0.01369863,0.34406252,0.50593748,1
0.1679,20900,19751.05,0.1,0.75,0.01369863,0.295999641,0.454000359,1
0.1744,20950,19751.05,0.1,0.75,0.01369863,0.295207796,0.454792204,1
0.1821,21000,19751.05,0.1,0.8,0.01369863,0.316401091,0.483598909,1
0.1872,21050,19751.05,0.1,0.75,0.01369863,0.292329364,0.457670636,1
0.1921,21100,19751.05,0.1,0.7,0.01369863,0.268401392,0.431598608,1
0.1984,21150,19751.05,0.1,0.7,0.01369863,0.267663845,0.432336155,1
0.2046,21200,19751.05,0.1,0.7,0.01369863,0.266013218,0.433986782,1
0.2092,21250,19751.05,0.1,0.65,0.01369863,0.243398279,0.406601721,1
