Type,Volatility,STRIKE,CMP,risk_free,LTP,Expiry
CE,3.58,19600,19751.05,0.0685,183.95,0.01369863
CE,5.14,19650,19751.05,0.0685,143.55,0.01369863
CE,6.24,19700,19751.05,0.0685,113.2,0.01369863
CE,6.73,19750,19751.05,0.0685,86,0.01369863
CE,7.02,19800,19751.05,0.0685,63,0.01369863
CE,7.27,19850,19751.05,0.0685,45.1,0.01369863
CE,7.43,19900,19751.05,0.0685,31,0.01369863
CE,7.44,19950,19751.05,0.0685,19.8,0.01369863
CE,7.71,20000,19751.05,0.0685,13.45,0.01369863
CE,7.73,20050,19751.05,0.0685,8.05,0.01369863
CE,8.06,20100,19751.05,0.0685,5.55,0.01369863
CE,8.34,20150,19751.05,0.0685,3.75,0.01369863
CE,8.93,20200,19751.05,0.0685,3.1,0.01369863
CE,9.18,20250,19751.05,0.0685,2.1,0.01369863
CE,9.67,20300,19751.05,0.0685,1.7,0.01369863
CE,10.36,20350,19751.05,0.0685,1.6,0.01369863
CE,10.75,20400,19751.05,0.0685,1.25,0.01369863
CE,11.42,20450,19751.05,0.0685,1.2,0.01369863
CE,12.15,20500,19751.05,0.0685,1.2,0.01369863
CE,12.72,20550,19751.05,0.0685,1.1,0.01369863
CE,13.27,20600,19751.05,0.0685,1,0.01369863
CE,13.79,20650,19751.05,0.0685,0.9,0.01369863
CE,14.47,20700,19751.05,0.0685,0.9,0.01369863
CE,15.14,20750,19751.05,0.0685,0.9,0.01369863
CE,15.71,20800,19751.05,0.0685,0.85,0.01369863
CE,16.37,20850,19751.05,0.0685,0.85,0.01369863
CE,16.79,20900,19751.05,0.0685,0.75,0.01369863
CE,17.44,20950,19751.05,0.0685,0.75,0.01369863
CE,18.21,21000,19751.05,0.0685,0.8,0.01369863
CE,18.72,21050,19751.05,0.0685,0.75,0.01369863
CE,19.21,21100,19751.05,0.0685,0.7,0.01369863
CE,19.84,21150,19751.05,0.0685,0.7,0.01369863
CE,20.46,21200,19751.05,0.0685,0.7,0.01369863
CE,20.92,21250,19751.05,0.0685,0.65,0.01369863
CE,21.36,21300,19751.05,0.0685,0.6,0.01369863
CE,22.14,21350,19751.05,0.0685,0.65,0.01369863
CE,22.56,21400,19751.05,0.0685,0.6,0.01369863
CE,23.16,21450,19751.05,0.0685,0.6,0.01369863
CE,24.13,21500,19751.05,0.0685,0.7,0.01369863
CE,24.73,21550,19751.05,0.0685,0.7,0.01369863
CE,25.14,21600,19751.05,0.0685,0.65,0.01369863
CE,25.74,21650,19751.05,0.0685,0.65,0.01369863
CE,26.33,21700,19751.05,0.0685,0.65,0.01369863
