Type,Volatility,STRIKE,CMP,risk_free,LTP,Expiry,,,,,,,,,,,,,,,
CE,41.22,17950,19751.05,0.0685,1843.35,0.01369863,,,,,,,,,,,,,,,
CE,-,18000,19751.05,0.0685,1730,0.01369863,,,,,,,,,,,,,,,
CE,-,18050,19751.05,0.0685,-,0.01369863,,,,,,,,,,,,,,,
CE,-,18100,19751.05,0.0685,1737,0.01369863,,,,,,,,,,,,,,,
CE,-,18150,19751.05,0.0685,-,0.01369863,,,,,,,,,,,,,,,
CE,-,18200,19751.05,0.0685,1640,0.01369863,,,,,,,,,,,,,,,
CE,-,18250,19751.05,0.0685,-,0.01369863,,,,,,,,,,,,,,,
CE,-,18300,19751.05,0.0685,1246,0.01369863,,,,,,,,,,,,,,,
CE,-,18350,19751.05,0.0685,1480,0.01369863,,,,,,,,,,,,,,,
CE,-,18400,19751.05,0.0685,1413.55,0.01369863,,,,,,,,,,,,,,,
CE,-,18450,19751.05,0.0685,1380,0.01369863,,,,,,,,,,,,,,,
CE,-,18500,19751.05,0.0685,1200,0.01369863,,,,,,,,,,,,,,,
CE,-,18550,19751.05,0.0685,1280,0.01369863,,,,,,,,,,,,,,,
CE,-,18600,19751.05,0.0685,1154.8,0.01369863,,,,,,,,,,,,,,,
CE,-,18650,19751.05,0.0685,1114.7,0.01369863,,,,,,,,,,,,,,,
CE,-,18700,19751.05,0.0685,1072.2,0.01369863,,,,,,,,,,,,,,,
CE,-,18750,19751.05,0.0685,1092.45,0.01369863,,,,,,,,,,,,,,,
CE,-,18800,19751.05,0.0685,941.2,0.01369863,,,,,,,,,,,,,,,
CE,-,18850,19751.05,0.0685,986,0.01369863,,,,,,,,,,,,,,,
CE,-,18900,19751.05,0.0685,838.65,0.01369863,,,,,,,,,,,,,,,
CE,-,18950,19751.05,0.0685,885.15,0.01369863,,,,,,,,,,,,,,,
CE,-,19000,19751.05,0.0685,736.8,0.01369863,,,,,,,,,,,,,,,
CE,-,19050,19751.05,0.0685,717.1,0.01369863,,,,,,,,,,,,,,,
CE,-,19100,19751.05,0.0685,640.75,0.01369863,,,,,,,,,,,,,,,
CE,-,19150,19751.05,0.0685,588.95,0.01369863,,,,,,,,,,,,,,,
CE,-,19200,19751.05,0.0685,539.05,0.01369863,,,,,,,,,,,,,,,
CE,-,19250,19751.05,0.0685,492.75,0.01369863,,,,,,,,,,,,,,,
CE,-,19300,19751.05,0.0685,442.45,0.01369863,,,,,,,,,,,,,,,
CE,-,19350,19751.05,0.0685,395.3,0.01369863,,,,,,,,,,,,,,,
CE,-,19400,19751.05,0.0685,351,0.01369863,,,,,,,,,,,,,,,
CE,-,19450,19751.05,0.0685,303.9,0.01369863,,,,,,,,,,,,,,,
CE,-,19500,19751.05,0.0685,263.2,0.01369863,,,,,,,,,,,,,,,
CE,-,19550,19751.05,0.0685,215.85,0.01369863,,,,,,,,,,,,,,,
CE,3.58,19600,19751.05,0.0685,183.95,0.01369863,,,,,,,,,,,,,,,
CE,5.14,19650,19751.05,0.0685,143.55,0.01369863,,,,,,,,,,,,,,,
CE,6.24,19700,19751.05,0.0685,113.2,0.01369863,,,,,,,,,,,,,,,
CE,6.73,19750,19751.05,0.0685,86,0.01369863,,,,,,,,,,,,,,,
CE,7.02,19800,19751.05,0.0685,63,0.01369863,,,,,,,,,,,,,,,
CE,7.27,19850,19751.05,0.0685,45.1,0.01369863,,,,,,,,,,,,,,,
CE,7.43,19900,19751.05,0.0685,31,0.01369863,,,,,,,,,,,,,,,
CE,7.44,19950,19751.05,0.0685,19.8,0.01369863,,,,,,,,,,,,,,,
CE,7.71,20000,19751.05,0.0685,13.45,0.01369863,,,,,,,,,,,,,,,
CE,7.73,20050,19751.05,0.0685,8.05,0.01369863,,,,,,,,,,,,,,,
CE,8.06,20100,19751.05,0.0685,5.55,0.01369863,,,,,,,,,,,,,,,
CE,8.34,20150,19751.05,0.0685,3.75,0.01369863,,,,,,,,,,,,,,,
CE,8.93,20200,19751.05,0.0685,3.1,0.01369863,,,,,,,,,,,,,,,
CE,9.18,20250,19751.05,0.0685,2.1,0.01369863,,,,,,,,,,,,,,,
CE,9.67,20300,19751.05,0.0685,1.7,0.01369863,,,,,,,,,,,,,,,
CE,10.36,20350,19751.05,0.0685,1.6,0.01369863,,,,,,,,,,,,,,,
CE,10.75,20400,19751.05,0.0685,1.25,0.01369863,,,,,,,,,,,,,,,
CE,11.42,20450,19751.05,0.0685,1.2,0.01369863,,,,,,,,,,,,,,,
CE,12.15,20500,19751.05,0.0685,1.2,0.01369863,,,,,,,,,,,,,,,
CE,12.72,20550,19751.05,0.0685,1.1,0.01369863,,,,,,,,,,,,,,,
CE,13.27,20600,19751.05,0.0685,1,0.01369863,,,,,,,,,,,,,,,
CE,13.79,20650,19751.05,0.0685,0.9,0.01369863,,,,,,,,,,,,,,,
CE,14.47,20700,19751.05,0.0685,0.9,0.01369863,,,,,,,,,,,,,,,
CE,15.14,20750,19751.05,0.0685,0.9,0.01369863,,,,,,,,,,,,,,,
CE,15.71,20800,19751.05,0.0685,0.85,0.01369863,,,,,,,,,,,,,,,
CE,16.37,20850,19751.05,0.0685,0.85,0.01369863,,,,,,,,,,,,,,,
CE,16.79,20900,19751.05,0.0685,0.75,0.01369863,,,,,,,,,,,,,,,
CE,17.44,20950,19751.05,0.0685,0.75,0.01369863,,,,,,,,,,,,,,,
CE,18.21,21000,19751.05,0.0685,0.8,0.01369863,,,,,,,,,,,,,,,
CE,18.72,21050,19751.05,0.0685,0.75,0.01369863,,,,,,,,,,,,,,,
CE,19.21,21100,19751.05,0.0685,0.7,0.01369863,,,,,,,,,,,,,,,
CE,19.84,21150,19751.05,0.0685,0.7,0.01369863,,,,,,,,,,,,,,,
CE,20.46,21200,19751.05,0.0685,0.7,0.01369863,,,,,,,,,,,,,,,
CE,20.92,21250,19751.05,0.0685,0.65,0.01369863,,,,,,,,,,,,,,,
CE,21.36,21300,19751.05,0.0685,0.6,0.01369863,,,,,,,,,,,,,,,
CE,22.14,21350,19751.05,0.0685,0.65,0.01369863,,,,,,,,,,,,,,,
CE,22.56,21400,19751.05,0.0685,0.6,0.01369863,,,,,,,,,,,,,,,
CE,23.16,21450,19751.05,0.0685,0.6,0.01369863,,,,,,,,,,,,,,,
CE,24.13,21500,19751.05,0.0685,0.7,0.01369863,,,,,,,,,,,,,,,
CE,24.73,21550,19751.05,0.0685,0.7,0.01369863,,,,,,,,,,,,,,,
CE,25.14,21600,19751.05,0.0685,0.65,0.01369863,,,,,,,,,,,,,,,
CE,25.74,21650,19751.05,0.0685,0.65,0.01369863,,,,,,,,,,,,,,,
CE,26.33,21700,19751.05,0.0685,0.65,0.01369863,,,,,,,,,,,,,,,
PE,31.66,17950,19751.05,0.0685,2.1,0.01369863,,,,,,,,,,,,,,,
PE,30.67,18000,19751.05,0.0685,2,0.01369863,,,,,,,,,,,,,,,
PE,30.23,18050,19751.05,0.0685,2.2,0.01369863,,,,,,,,,,,,,,,
PE,29.42,18100,19751.05,0.0685,2.1,0.01369863,,,,,,,,,,,,,,,
PE,28.53,18150,19751.05,0.0685,2.15,0.01369863,,,,,,,,,,,,,,,
PE,27.97,18200,19751.05,0.0685,2.3,0.01369863,,,,,,,,,,,,,,,
PE,27.16,18250,19751.05,0.0685,2.15,0.01369863,,,,,,,,,,,,,,,
PE,26.57,18300,19751.05,0.0685,2.3,0.01369863,,,,,,,,,,,,,,,
PE,24.93,18350,19751.05,0.0685,1.85,0.01369863,,,,,,,,,,,,,,,
PE,25.13,18400,19751.05,0.0685,2.6,0.01369863,,,,,,,,,,,,,,,
PE,23.99,18450,19751.05,0.0685,2.35,0.01369863,,,,,,,,,,,,,,,
PE,23.73,18500,19751.05,0.0685,2.8,0.01369863,,,,,,,,,,,,,,,
PE,22.9,18550,19751.05,0.0685,2.8,0.01369863,,,,,,,,,,,,,,,
PE,22.28,18600,19751.05,0.0685,3,0.01369863,,,,,,,,,,,,,,,
PE,21.34,18650,19751.05,0.0685,2.85,0.01369863,,,,,,,,,,,,,,,
PE,20.89,18700,19751.05,0.0685,4,0.01369863,,,,,,,,,,,,,,,
PE,20.3,18750,19751.05,0.0685,3.35,0.01369863,,,,,,,,,,,,,,,
PE,19.4,18800,19751.05,0.0685,3.6,0.01369863,,,,,,,,,,,,,,,
PE,18.88,18850,19751.05,0.0685,3.6,0.01369863,,,,,,,,,,,,,,,
PE,18,18900,19751.05,0.0685,4,0.01369863,,,,,,,,,,,,,,,
PE,17.26,18950,19751.05,0.0685,4.2,0.01369863,,,,,,,,,,,,,,,
PE,17.08,19000,19751.05,0.0685,5.4,0.01369863,,,,,,,,,,,,,,,
PE,16.19,19050,19751.05,0.0685,5.7,0.01369863,,,,,,,,,,,,,,,
PE,14.51,19100,19751.05,0.0685,4.1,0.01369863,,,,,,,,,,,,,,,
PE,14.67,19150,19751.05,0.0685,6.2,0.01369863,,,,,,,,,,,,,,,
PE,14.24,19200,19751.05,0.0685,7.5,0.01369863,,,,,,,,,,,,,,,
PE,13.42,19250,19751.05,0.0685,8,0.01369863,,,,,,,,,,,,,,,
PE,13.07,19300,19751.05,0.0685,10.1,0.01369863,,,,,,,,,,,,,,,
PE,12.65,19350,19751.05,0.0685,12.5,0.01369863,,,,,,,,,,,,,,,
PE,12.27,19400,19751.05,0.0685,15.75,0.01369863,,,,,,,,,,,,,,,
PE,11.85,19450,19751.05,0.0685,19.65,0.01369863,,,,,,,,,,,,,,,
PE,11.79,19500,19751.05,0.0685,26.9,0.01369863,,,,,,,,,,,,,,,
PE,11.45,19550,19751.05,0.0685,34.1,0.01369863,,,,,,,,,,,,,,,
PE,11.37,19600,19751.05,0.0685,44.95,0.01369863,,,,,,,,,,,,,,,
PE,11.37,19650,19751.05,0.0685,59.5,0.01369863,,,,,,,,,,,,,,,
PE,11.35,19700,19751.05,0.0685,76,0.01369863,,,,,,,,,,,,,,,
PE,11.39,19750,19751.05,0.0685,97.65,0.01369863,,,,,,,,,,,,,,,
PE,11.71,19800,19751.05,0.0685,125,0.01369863,,,,,,,,,,,,,,,
PE,12.21,19850,19751.05,0.0685,155.9,0.01369863,,,,,,,,,,,,,,,
PE,12.9,19900,19751.05,0.0685,194.4,0.01369863,,,,,,,,,,,,,,,
PE,13.56,19950,19751.05,0.0685,236.35,0.01369863,,,,,,,,,,,,,,,
PE,14.16,20000,19751.05,0.0685,277,0.01369863,,,,,,,,,,,,,,,
PE,15.12,20050,19751.05,0.0685,322,0.01369863,,,,,,,,,,,,,,,
PE,16.6,20100,19751.05,0.0685,371.9,0.01369863,,,,,,,,,,,,,,,
PE,18.01,20150,19751.05,0.0685,421.7,0.01369863,,,,,,,,,,,,,,,
PE,18.47,20200,19751.05,0.0685,465,0.01369863,,,,,,,,,,,,,,,
PE,20.52,20250,19751.05,0.0685,519.9,0.01369863,,,,,,,,,,,,,,,
PE,21.28,20300,19751.05,0.0685,566.1,0.01369863,,,,,,,,,,,,,,,
